Cluster,Age,Days_Indoors,Growing_Stress,Quarantine_Frustrations,Changes_Habits,Mental_Health_History,Weight_Change,Mood_Swings,Coping_Struggles,Work_Interest,Social_Weakness,Gen_Female,Gen_Male,Occ_Business,Occ_Corporate,Occ_Housewife,Occ_Others,Occ_Student,Carga_Sintomas
0,1.4758620689655173,1.9310344827586208,1.0689655172413792,1.0551724137931036,1.1172413793103448,0.9103448275862069,0.993103448275862,0.9586206896551724,1.089655172413793,0.9172413793103448,1.0206896551724138,0.5448275862068965,0.45517241379310347,1.0,0.0,0.0,0.0,0.0,9.13103448275862
1,1.5061728395061729,1.9598765432098766,0.9876543209876543,1.0709876543209877,1.0771604938271604,0.9691358024691358,1.0185185185185186,0.9660493827160493,0.8950617283950617,0.9444444444444444,0.9753086419753086,0.0,1.0,0.0,0.2623456790123457,0.27469135802469136,0.21296296296296297,0.25,8.904320987654321
2,1.5774647887323943,2.0225352112676056,1.1098591549295775,1.0535211267605633,1.0338028169014084,0.9915492957746479,0.9661971830985916,1.0140845070422535,1.047887323943662,0.952112676056338,0.9605633802816902,1.0,0.0,0.0,0.2084507042253521,0.2704225352112676,0.24225352112676057,0.27887323943661974,9.129577464788731
